Entry	Entry name	Protein names	Organism	Length	Gene names  (primary )	Gene ontology (cellular component)	Gene ontology (biological process)	Gene ontology (molecular function)
P11310	ACADM_HUMAN	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)	Homo sapiens (Human)	421	ACADM	axon [GO:0030424]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleus [GO:0005634]	carnitine biosynthetic process [GO:0045329]; carnitine metabolic process, CoA-linked [GO:0019254]; fatty acid beta-oxidation [GO:0006635]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; medium-chain fatty acid catabolic process [GO:0051793]; medium-chain fatty acid metabolic process [GO:0051791]; oxidation-reduction process [GO:0055114]; regulation of lipid metabolic process [GO:0019216]	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]; identical protein binding [GO:0042802]; medium-chain-acyl-CoA dehydrogenase activity [GO:0070991]
P11802	CDK4_HUMAN	Cyclin-dependent kinase 4 (EC 2.7.11.22) (Cell division protein kinase 4) (PSK-J3)	Homo sapiens (Human)	303	CDK4	bicellular tight junction [GO:0005923]; chromatin [GO:0000785]; cyclin D2-CDK4 complex [GO:0097129]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytosol [GO:0005829]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; transcription factor complex [GO:0005667]	adipose tissue development [GO:0060612]; animal organ regeneration [GO:0031100]; cell division [GO:0051301]; cellular response to insulin stimulus [GO:0032869]; cellular response to interleukin-4 [GO:0071353]; cellular response to ionomycin [GO:1904637]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to phorbol 13-acetate 12-myristate [GO:1904628]; circadian rhythm [GO:0007623]; G1/S transition of mitotic cell cycle [GO:0000082]; lens development in camera-type eye [GO:0002088]; negative regulation of cell cycle arrest [GO:0071157]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell cycle [GO:0045787]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cell size [GO:0045793]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of translation [GO:0045727]; protein phosphorylation [GO:0006468]; regulation of gene expression [GO:0010468]; regulation of insulin receptor signaling pathway [GO:0046626]; regulation of lipid biosynthetic process [GO:0046890]; regulation of lipid catabolic process [GO:0050994]; regulation of multicellular organism growth [GO:0040014]; response to drug [GO:0042493]; response to hyperoxia [GO:0055093]; response to lead ion [GO:0010288]; response to testosterone [GO:0033574]; response to toxic substance [GO:0009636]; signal transduction [GO:0007165]; transcription initiation from RNA polymerase II promoter [GO:0006367]	ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein-containing complex binding [GO:0044877]
P12081	SYHC_HUMAN	Histidine--tRNA ligase, cytoplasmic (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	Homo sapiens (Human)	509	HARS	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]	histidyl-tRNA aminoacylation [GO:0006427]; mitochondrial translation [GO:0032543]; translation [GO:0006412]; tRNA aminoacylation for protein translation [GO:0006418]	ATP binding [GO:0005524]; histidine-tRNA ligase activity [GO:0004821]; identical protein binding [GO:0042802]
P12277	KCRB_HUMAN	Creatine kinase B-type (EC 2.7.3.2) (Brain creatine kinase) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase B-type) (CPK-B)	Homo sapiens (Human)	381	CKB	cytosol [GO:0005829]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]	cellular chloride ion homeostasis [GO:0030644]; cerebellum development [GO:0021549]; creatine metabolic process [GO:0006600]; substantia nigra development [GO:0021762]	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; ubiquitin protein ligase binding [GO:0031625]
P12830	CADH1_HUMAN	Cadherin-1 (CAM 120/80) (Epithelial cadherin) (E-cadherin) (Uvomorulin) (CD antigen CD324) [Cleaved into: E-Cad/CTF1; E-Cad/CTF2; E-Cad/CTF3]	Homo sapiens (Human)	882	CDH1	actin cytoskeleton [GO:0015629]; apical junction complex [GO:0043296]; catenin complex [GO:0016342]; cell-cell adherens junction [GO:0005913]; cell junction [GO:0030054]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; flotillin complex [GO:0016600]; glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; lamellipodium [GO:0030027]; lateral plasma membrane [GO:0016328]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; trans-Golgi network [GO:0005802]	adherens junction organization [GO:0034332]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction assembly [GO:0007043]; cell morphogenesis [GO:0000902]; cellular response to indole-3-methanol [GO:0071681]; cellular response to lithium ion [GO:0071285]; entry of bacterium into host cell [GO:0035635]; extracellular matrix organization [GO:0030198]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; negative regulation of cell-cell adhesion [GO:0022408]; negative regulation of cell migration [GO:0030336]; neuron projection development [GO:0031175]; pituitary gland development [GO:0021983]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of transcription, DNA-templated [GO:0045893]; protein localization to plasma membrane [GO:0072659]; regulation of gene expression [GO:0010468]; regulation of protein catabolic process at postsynapse, modulating synaptic transmission [GO:0099576]; response to toxic substance [GO:0009636]; synapse assembly [GO:0007416]	ankyrin binding [GO:0030506]; beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; cell adhesion molecule binding [GO:0050839]; cytoskeletal protein binding [GO:0008092]; gamma-catenin binding [GO:0045295]; GTPase activating protein binding [GO:0032794]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]
P13489	RINI_HUMAN	Ribonuclease inhibitor (Placental ribonuclease inhibitor) (Placental RNase inhibitor) (Ribonuclease/angiogenin inhibitor 1) (RAI)	Homo sapiens (Human)	461	RNH1	angiogenin-PRI complex [GO:0032311]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]	mRNA catabolic process [GO:0006402]; regulation of angiogenesis [GO:0045765]	ribonuclease inhibitor activity [GO:0008428]
P13804	ETFA_HUMAN	Electron transfer flavoprotein subunit alpha, mitochondrial (Alpha-ETF)	Homo sapiens (Human)	333	ETFA	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]	electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity [GO:0016491]
P16070	CD44_HUMAN	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	Homo sapiens (Human)	742	CD44	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cell projection [GO:0042995]; cell surface [GO:0009986]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; lamellipodium membrane [GO:0031258]; macrophage migration inhibitory factor receptor complex [GO:0035692]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]	cartilage development [GO:0051216]; cell adhesion [GO:0007155]; cell-cell adhesion [GO:0098609]; cell-matrix adhesion [GO:0007160]; cellular response to fibroblast growth factor stimulus [GO:0044344]; extracellular matrix disassembly [GO:0022617]; extracellular matrix organization [GO:0030198]; hyaluronan catabolic process [GO:0030214]; inflammatory response [GO:0006954]; interferon-gamma-mediated signaling pathway [GO:0060333]; leukocyte migration [GO:0050900]; monocyte aggregation [GO:0070487]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; neutrophil degranulation [GO:0043312]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]; positive regulation of monocyte aggregation [GO:1900625]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; regulation of lamellipodium morphogenesis [GO:2000392]; wound healing, spreading of cells [GO:0044319]	collagen binding [GO:0005518]; hyaluronic acid binding [GO:0005540]; transmembrane signaling receptor activity [GO:0004888]
P16422	EPCAM_HUMAN	Epithelial cell adhesion molecule (Ep-CAM) (Adenocarcinoma-associated antigen) (Cell surface glycoprotein Trop-1) (Epithelial cell surface antigen) (Epithelial glycoprotein) (EGP) (Epithelial glycoprotein 314) (EGP314) (hEGP314) (KS 1/4 antigen) (KSA) (Major gastrointestinal tumor-associated protein GA733-2) (Tumor-associated calcium signal transducer 1) (CD antigen CD326)	Homo sapiens (Human)	314	EPCAM	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; bicellular tight junction [GO:0005923]; cell surface [GO:0009986]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; lateral plasma membrane [GO:0016328]; plasma membrane [GO:0005886]	cell-cell adhesion via plasma-membrane adhesion molecules [GO:0098742]; leukocyte migration [GO:0050900]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell-cell adhesion mediated by cadherin [GO:2000048]; positive regulation of cell motility [GO:2000147]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of transcription by RNA polymerase II [GO:0045944]; signal transduction involved in regulation of gene expression [GO:0023019]; stem cell differentiation [GO:0048863]; ureteric bud development [GO:0001657]	cadherin binding involved in cell-cell adhesion [GO:0098641]; protein-containing complex binding [GO:0044877]
P17812	PYRG1_HUMAN	CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)	Homo sapiens (Human)	591	CTPS1	cytoophidium [GO:0097268]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]	'de novo' CTP biosynthetic process [GO:0044210]; B cell proliferation [GO:0042100]; CTP biosynthetic process [GO:0006241]; glutamine metabolic process [GO:0006541]; nucleobase-containing compound metabolic process [GO:0006139]; nucleobase-containing small molecule interconversion [GO:0015949]; pyrimidine nucleobase biosynthetic process [GO:0019856]; response to drug [GO:0042493]; T cell proliferation [GO:0042098]	ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; identical protein binding [GO:0042802]
P17861	XBP1_HUMAN	X-box-binding protein 1 (XBP-1) (Tax-responsive element-binding protein 5) (TREB-5) [Cleaved into: X-box-binding protein 1, cytoplasmic form; X-box-binding protein 1, luminal form]	Homo sapiens (Human)	261	XBP1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; integral component of endoplasmic reticulum membrane [GO:0030176]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	adipose tissue development [GO:0060612]; angiogenesis [GO:0001525]; ATF6-mediated unfolded protein response [GO:0036500]; autophagy [GO:0006914]; cellular response to amino acid stimulus [GO:0071230]; cellular response to fluid shear stress [GO:0071498]; cellular response to fructose stimulus [GO:0071332]; cellular response to glucose starvation [GO:0042149]; cellular response to glucose stimulus [GO:0071333]; cellular response to insulin stimulus [GO:0032869]; cellular response to interleukin-4 [GO:0071353]; cellular response to laminar fluid shear stress [GO:0071499]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to nutrient [GO:0031670]; cellular response to oxidative stress [GO:0034599]; cellular response to peptide hormone stimulus [GO:0071375]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; cellular triglyceride homeostasis [GO:0035356]; cholesterol homeostasis [GO:0042632]; endoplasmic reticulum unfolded protein response [GO:0030968]; endothelial cell proliferation [GO:0001935]; epithelial cell maturation involved in salivary gland development [GO:0060691]; exocrine pancreas development [GO:0031017]; fatty acid biosynthetic process [GO:0006633]; fatty acid homeostasis [GO:0055089]; immune response [GO:0006955]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; IRE1-mediated unfolded protein response [GO:0036498]; liver development [GO:0001889]; muscle organ development [GO:0007517]; negative regulation of apoptotic process [GO:0043066]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of endoplasmic reticulum unfolded protein response [GO:1900102]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of myotube differentiation [GO:0010832]; negative regulation of pathway-restricted SMAD protein phosphorylation [GO:0060394]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; neuron development [GO:0048666]; organelle organization [GO:0006996]; phosphatidylinositol 3-kinase signaling [GO:0014065]; positive regulation of angiogenesis [GO:0045766]; positive regulation of autophagy [GO:0010508]; positive regulation of B cell differentiation [GO:0045579]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of endoplasmic reticulum unfolded protein response [GO:1900103]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of ER-associated ubiquitin-dependent protein catabolic process [GO:1903071]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of hepatocyte proliferation [GO:2000347]; positive regulation of histone methylation [GO:0031062]; positive regulation of immunoglobulin production [GO:0002639]; positive regulation of immunoglobulin secretion [GO:0051024]; positive regulation of interleukin-6 secretion [GO:2000778]; positive regulation of lactation [GO:1903489]; positive regulation of MHC class II biosynthetic process [GO:0045348]; positive regulation of phospholipid biosynthetic process by positive regulation of transcription from RNA polymerase II promoter [GO:1900413]; positive regulation of plasma cell differentiation [GO:1900100]; positive regulation of protein acetylation [GO:1901985]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of TOR signaling [GO:0032008]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990440]; positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response [GO:0006990]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; positive regulation of vascular smooth muscle cell proliferation [GO:1904707]; positive regulation of vascular wound healing [GO:0035470]; protein destabilization [GO:0031648]; protein transport [GO:0015031]; regulation of autophagy [GO:0010506]; regulation of cell growth [GO:0001558]; regulation of protein stability [GO:0031647]; response to endoplasmic reticulum stress [GO:0034976]; response to insulin-like growth factor stimulus [GO:1990418]; sterol homeostasis [GO:0055092]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process [GO:0006511]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]	chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; enhancer sequence-specific DNA binding [GO:0001158]; estrogen receptor binding [GO:0030331]; protease binding [GO:0002020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription regulatory region DNA binding [GO:0044212]; ubiquitin protein ligase binding [GO:0031625]
P20340	RAB6A_HUMAN	Ras-related protein Rab-6A (Rab-6)	Homo sapiens (Human)	208	RAB6A	cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; endosome to plasma membrane transport vesicle [GO:0070381]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]	antigen processing and presentation [GO:0019882]; early endosome to Golgi transport [GO:0034498]; intracellular protein transport [GO:0006886]; intra-Golgi vesicle-mediated transport [GO:0006891]; minus-end-directed organelle transport along microtubule [GO:0072385]; neutrophil degranulation [GO:0043312]; peptidyl-cysteine methylation [GO:0018125]; protein localization to Golgi apparatus [GO:0034067]; Rab protein signal transduction [GO:0032482]; retrograde transport, endosome to Golgi [GO:0042147]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; viral process [GO:0016032]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; myosin V binding [GO:0031489]; protein domain specific binding [GO:0019904]
P20618	PSB1_HUMAN	Proteasome subunit beta type-1 (EC 3.4.25.1) (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain)	Homo sapiens (Human)	241	PSMB1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, beta-subunit complex [GO:0019774]; secretory granule lumen [GO:0034774]	neutrophil degranulation [GO:0043312]; post-translational protein modification [GO:0043687]; proteasomal protein catabolic process [GO:0010498]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; viral process [GO:0016032]	endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]
P21359	NF1_HUMAN	Neurofibromin (Neurofibromatosis-related protein NF-1) [Cleaved into: Neurofibromin truncated]	Homo sapiens (Human)	2839	NF1	axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]; presynapse [GO:0098793]	actin cytoskeleton organization [GO:0030036]; adrenal gland development [GO:0030325]; amygdala development [GO:0021764]; artery morphogenesis [GO:0048844]; brain development [GO:0007420]; camera-type eye morphogenesis [GO:0048593]; cell communication [GO:0007154]; cellular response to heat [GO:0034605]; cerebral cortex development [GO:0021987]; cognition [GO:0050890]; collagen fibril organization [GO:0030199]; extracellular matrix organization [GO:0030198]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; forebrain astrocyte development [GO:0021897]; forebrain morphogenesis [GO:0048853]; gamma-aminobutyric acid secretion, neurotransmission [GO:0061534]; glutamate secretion, neurotransmission [GO:0061535]; hair follicle maturation [GO:0048820]; heart development [GO:0007507]; liver development [GO:0001889]; MAPK cascade [GO:0000165]; metanephros development [GO:0001656]; myelination in peripheral nervous system [GO:0022011]; negative regulation of angiogenesis [GO:0016525]; negative regulation of astrocyte differentiation [GO:0048712]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of cell migration [GO:0030336]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of MAPK cascade [GO:0043409]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of neurotransmitter secretion [GO:0046929]; negative regulation of oligodendrocyte differentiation [GO:0048715]; negative regulation of osteoclast differentiation [GO:0045671]; negative regulation of protein import into nucleus [GO:0042308]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of Rac protein signal transduction [GO:0035021]; neural tube development [GO:0021915]; observational learning [GO:0098597]; osteoblast differentiation [GO:0001649]; peripheral nervous system development [GO:0007422]; phosphatidylinositol 3-kinase signaling [GO:0014065]; pigmentation [GO:0043473]; positive regulation of adenylate cyclase activity [GO:0045762]; positive regulation of apoptotic process [GO:0043065]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; positive regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902043]; positive regulation of GTPase activity [GO:0043547]; positive regulation of neuron apoptotic process [GO:0043525]; Ras protein signal transduction [GO:0007265]; regulation of angiogenesis [GO:0045765]; regulation of blood vessel endothelial cell migration [GO:0043535]; regulation of bone resorption [GO:0045124]; regulation of cell-matrix adhesion [GO:0001952]; regulation of gene expression [GO:0010468]; regulation of glial cell differentiation [GO:0045685]; regulation of GTPase activity [GO:0043087]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of long-term synaptic potentiation [GO:1900271]; regulation of synaptic transmission, GABAergic [GO:0032228]; response to hypoxia [GO:0001666]; Schwann cell development [GO:0014044]; skeletal muscle tissue development [GO:0007519]; smooth muscle tissue development [GO:0048745]; spinal cord development [GO:0021510]; sympathetic nervous system development [GO:0048485]; visual learning [GO:0008542]; wound healing [GO:0042060]	GTPase activator activity [GO:0005096]; phosphatidylcholine binding [GO:0031210]; phosphatidylethanolamine binding [GO:0008429]
P23229	ITA6_HUMAN	Integrin alpha-6 (CD49 antigen-like family member F) (VLA-6) (CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha-6 (Alpha6p)]	Homo sapiens (Human)	1130	ITGA6	basal plasma membrane [GO:0009925]; basement membrane [GO:0005604]; cell-cell adherens junction [GO:0005913]; cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; filopodium [GO:0030175]; focal adhesion [GO:0005925]; hemidesmosome [GO:0030056]; integrin alpha6-beta4 complex [GO:0034676]; plasma membrane [GO:0005886]	amelogenesis [GO:0097186]; brown fat cell differentiation [GO:0050873]; cell-cell adhesion [GO:0098609]; cell-matrix adhesion [GO:0007160]; cell-substrate adhesion [GO:0031589]; cell-substrate junction assembly [GO:0007044]; cellular response to extracellular stimulus [GO:0031668]; cellular response to organic cyclic compound [GO:0071407]; digestive tract development [GO:0048565]; ectodermal cell differentiation [GO:0010668]; extracellular matrix organization [GO:0030198]; filopodium assembly [GO:0046847]; hemidesmosome assembly [GO:0031581]; integrin-mediated signaling pathway [GO:0007229]; leukocyte migration [GO:0050900]; nail development [GO:0035878]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell-cell adhesion [GO:0022409]; positive regulation of cell migration [GO:0030335]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of GTPase activity [GO:0043547]; positive regulation of phosphorylation [GO:0042327]; positive regulation of transcription by RNA polymerase II [GO:0045944]; renal system development [GO:0072001]; skin development [GO:0043588]	cadherin binding [GO:0045296]; insulin-like growth factor I binding [GO:0031994]; laminin binding [GO:0043236]; metal ion binding [GO:0046872]; neuregulin binding [GO:0038132]; protein-containing complex binding [GO:0044877]
P26885	FKBP2_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP2 (PPIase FKBP2) (EC 5.2.1.8) (13 kDa FK506-binding protein) (13 kDa FKBP) (FKBP-13) (FK506-binding protein 2) (FKBP-2) (Immunophilin FKBP13) (Rotamase)	Homo sapiens (Human)	142	FKBP2	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]		FK506 binding [GO:0005528]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]
P27105	STOM_HUMAN	Erythrocyte band 7 integral membrane protein (Protein 7.2b) (Stomatin)	Homo sapiens (Human)	288	STOM	azurophil granule membrane [GO:0035577]; blood microparticle [GO:0072562]; cytoskeleton [GO:0005856]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; melanosome [GO:0042470]; membrane [GO:0016020]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]; vesicle [GO:0031982]	neutrophil degranulation [GO:0043312]; positive regulation by host of viral genome replication [GO:0044829]; positive regulation of protein targeting to membrane [GO:0090314]; protein homooligomerization [GO:0051260]; regulation of acid-sensing ion channel activity [GO:1901585]	protein homodimerization activity [GO:0042803]; RNA polymerase binding [GO:0070063]
P27348	1433T_HUMAN	14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1)	Homo sapiens (Human)	245	YWHAQ	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; mitochondrion [GO:0005739]; protein-containing complex [GO:0032991]; synapse [GO:0045202]	membrane organization [GO:0061024]; negative regulation of ion transmembrane transport [GO:0034766]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway [GO:1900740]; substantia nigra development [GO:0021762]	14-3-3 protein binding [GO:0071889]; identical protein binding [GO:0042802]; ion channel binding [GO:0044325]; protein C-terminus binding [GO:0008022]; protein domain specific binding [GO:0019904]; protein N-terminus binding [GO:0047485]
P28074	PSB5_HUMAN	Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain epsilon chain) (Multicatalytic endopeptidase complex epsilon chain) (Proteasome chain 6) (Proteasome epsilon chain) (Proteasome subunit MB1) (Proteasome subunit X)	Homo sapiens (Human)	263	PSMB5	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, beta-subunit complex [GO:0019774]	post-translational protein modification [GO:0043687]; proteasomal protein catabolic process [GO:0010498]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; proteolysis [GO:0006508]; response to oxidative stress [GO:0006979]; viral process [GO:0016032]	endopeptidase activity [GO:0004175]; peptidase activity [GO:0008233]; threonine-type endopeptidase activity [GO:0004298]
P29144	TPP2_HUMAN	Tripeptidyl-peptidase 2 (TPP-2) (EC 3.4.14.10) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase II) (TPP-II)	Homo sapiens (Human)	1249	TPP2	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]	protein polyubiquitination [GO:0000209]; proteolysis [GO:0006508]	aminopeptidase activity [GO:0004177]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; serine-type endopeptidase activity [GO:0004252]; tripeptidyl-peptidase activity [GO:0008240]
