Entry	Entry.name	Protein.names	Organism	Length	Gene.name	Gene.ontology..cellular.component.	Gene.ontology..biological.process.	Gene.ontology..molecular.function.	Category
P18031	PTN1_HUMAN	Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1B) (PTP-1B)	Homo sapiens (Human)	435	PTPN1	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]; cytosol [GO:0005829]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; protein-containing complex [GO:0032991]; sorting endosome [GO:0097443]	actin cytoskeleton reorganization [GO:0031532]; activation of JUN kinase activity [GO:0007257]; cellular response to unfolded protein [GO:0034620]; endoplasmic reticulum unfolded protein response [GO:0030968]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; insulin receptor signaling pathway [GO:0008286]; IRE1-mediated unfolded protein response [GO:0036498]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of PERK-mediated unfolded protein response [GO:1903898]; negative regulation of signal transduction [GO:0009968]; negative regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030948]; peptidyl-tyrosine dephosphorylation [GO:0035335]; peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity [GO:1990264]; platelet-derived growth factor receptor-beta signaling pathway [GO:0035791]; positive regulation of IRE1-mediated unfolded protein response [GO:1903896]; positive regulation of protein tyrosine kinase activity [GO:0061098]; positive regulation of receptor catabolic process [GO:2000646]; protein dephosphorylation [GO:0006470]; regulation of endocytosis [GO:0030100]; regulation of hepatocyte growth factor receptor signaling pathway [GO:1902202]; regulation of intracellular protein transport [GO:0033157]; regulation of signal transduction [GO:0009966]; regulation of type I interferon-mediated signaling pathway [GO:0060338]	cadherin binding [GO:0045296]; enzyme binding [GO:0019899]; ephrin receptor binding [GO:0046875]; insulin receptor binding [GO:0005158]; protein kinase binding [GO:0019901]; protein phosphatase 2A binding [GO:0051721]; protein tyrosine phosphatase activity [GO:0004725]; receptor tyrosine kinase binding [GO:0030971]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	UPR-RBP
O95292	VAPB_HUMAN	Vesicle-associated membrane protein-associated protein B/C (VAMP-B/VAMP-C) (VAMP-associated protein B/C) (VAP-B/VAP-C)	Homo sapiens (Human)	243	VAPB	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]	cellular calcium ion homeostasis [GO:0006874]; COPII-coated vesicle budding [GO:0090114]; endoplasmic reticulum organization [GO:0007029]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; endoplasmic reticulum unfolded protein response [GO:0030968]; IRE1-mediated unfolded protein response [GO:0036498]; modulation by host of viral RNA genome replication [GO:0044830]; modulation by virus of host morphology or physiology [GO:0019048]; negative regulation by host of viral genome replication [GO:0044828]; negative regulation by host of viral release from host cell [GO:0044790]; negative regulation by virus of viral protein levels in host cell [GO:0046725]; positive regulation by host of viral genome replication [GO:0044829]; positive regulation by host of viral release from host cell [GO:0044791]; positive regulation of viral genome replication [GO:0045070]; sphingolipid biosynthetic process [GO:0030148]	beta-tubulin binding [GO:0048487]; cadherin binding [GO:0045296]; enzyme binding [GO:0019899]; FFAT motif binding [GO:0033149]; microtubule binding [GO:0008017]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]	UPR-RBP
P17861	XBP1_HUMAN	X-box-binding protein 1 (XBP-1) (Tax-responsive element-binding protein 5) (TREB-5) [Cleaved into: X-box-binding protein 1, cytoplasmic form; X-box-binding protein 1, luminal form]	Homo sapiens (Human)	261	XBP1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; integral component of endoplasmic reticulum membrane [GO:0030176]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	adipose tissue development [GO:0060612]; angiogenesis [GO:0001525]; ATF6-mediated unfolded protein response [GO:0036500]; autophagy [GO:0006914]; cellular response to amino acid stimulus [GO:0071230]; cellular response to fluid shear stress [GO:0071498]; cellular response to fructose stimulus [GO:0071332]; cellular response to glucose starvation [GO:0042149]; cellular response to glucose stimulus [GO:0071333]; cellular response to insulin stimulus [GO:0032869]; cellular response to interleukin-4 [GO:0071353]; cellular response to laminar fluid shear stress [GO:0071499]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to nutrient [GO:0031670]; cellular response to oxidative stress [GO:0034599]; cellular response to peptide hormone stimulus [GO:0071375]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; cellular triglyceride homeostasis [GO:0035356]; cholesterol homeostasis [GO:0042632]; endoplasmic reticulum unfolded protein response [GO:0030968]; endothelial cell proliferation [GO:0001935]; epithelial cell maturation involved in salivary gland development [GO:0060691]; exocrine pancreas development [GO:0031017]; fatty acid biosynthetic process [GO:0006633]; fatty acid homeostasis [GO:0055089]; immune response [GO:0006955]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; IRE1-mediated unfolded protein response [GO:0036498]; liver development [GO:0001889]; muscle organ development [GO:0007517]; negative regulation of apoptotic process [GO:0043066]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of endoplasmic reticulum unfolded protein response [GO:1900102]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of myotube differentiation [GO:0010832]; negative regulation of pathway-restricted SMAD protein phosphorylation [GO:0060394]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; neuron development [GO:0048666]; organelle organization [GO:0006996]; phosphatidylinositol 3-kinase signaling [GO:0014065]; positive regulation of angiogenesis [GO:0045766]; positive regulation of autophagy [GO:0010508]; positive regulation of B cell differentiation [GO:0045579]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of endoplasmic reticulum unfolded protein response [GO:1900103]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of ER-associated ubiquitin-dependent protein catabolic process [GO:1903071]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of hepatocyte proliferation [GO:2000347]; positive regulation of histone methylation [GO:0031062]; positive regulation of immunoglobulin production [GO:0002639]; positive regulation of immunoglobulin secretion [GO:0051024]; positive regulation of interleukin-6 secretion [GO:2000778]; positive regulation of lactation [GO:1903489]; positive regulation of MHC class II biosynthetic process [GO:0045348]; positive regulation of phospholipid biosynthetic process by positive regulation of transcription from RNA polymerase II promoter [GO:1900413]; positive regulation of plasma cell differentiation [GO:1900100]; positive regulation of protein acetylation [GO:1901985]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of TOR signaling [GO:0032008]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990440]; positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response [GO:0006990]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; positive regulation of vascular smooth muscle cell proliferation [GO:1904707]; positive regulation of vascular wound healing [GO:0035470]; protein destabilization [GO:0031648]; protein transport [GO:0015031]; regulation of autophagy [GO:0010506]; regulation of cell growth [GO:0001558]; regulation of protein stability [GO:0031647]; response to endoplasmic reticulum stress [GO:0034976]; response to insulin-like growth factor stimulus [GO:1990418]; sterol homeostasis [GO:0055092]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process [GO:0006511]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]	chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; enhancer sequence-specific DNA binding [GO:0001158]; estrogen receptor binding [GO:0030331]; protease binding [GO:0002020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription regulatory region DNA binding [GO:0044212]; ubiquitin protein ligase binding [GO:0031625]	UPR-RBP
Q9BQE4	SELS_HUMAN	Selenoprotein S (SelS) (VCP-interacting membrane protein)	Homo sapiens (Human)	189	SELENOS	cytoplasmic microtubule [GO:0005881]; Derlin-1 retrotranslocation complex [GO:0036513]; Derlin-1-VIMP complex [GO:0036502]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; low-density lipoprotein particle [GO:0034362]; plasma membrane [GO:0005886]; very-low-density lipoprotein particle [GO:0034361]	cell redox homeostasis [GO:0045454]; cellular response to insulin stimulus [GO:0032869]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to oxidative stress [GO:0034599]; endoplasmic reticulum unfolded protein response [GO:0030968]; ER overload response [GO:0006983]; establishment of protein localization [GO:0045184]; negative regulation of acute inflammatory response to antigenic stimulus [GO:0002865]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of glucose import [GO:0046325]; negative regulation of glycogen biosynthetic process [GO:0045719]; negative regulation of inflammatory response [GO:0050728]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of macrophage apoptotic process [GO:2000110]; negative regulation of nitric-oxide synthase biosynthetic process [GO:0051771]; negative regulation of tumor necrosis factor production [GO:0032720]; protein ubiquitination [GO:0016567]; regulation of gluconeogenesis [GO:0006111]; regulation of nitric oxide metabolic process [GO:0080164]; response to glucose [GO:0009749]; response to redox state [GO:0051775]; retrograde protein transport, ER to cytosol [GO:0030970]; ubiquitin-dependent ERAD pathway [GO:0030433]	antioxidant activity [GO:0016209]; ATPase binding [GO:0051117]; enzyme binding [GO:0019899]; signaling receptor activity [GO:0038023]; ubiquitin-specific protease binding [GO:1990381]	UPR-RBP
Q9GZP9	DERL2_HUMAN	Derlin-2 (Degradation in endoplasmic reticulum protein 2) (DERtrin-2) (Der1-like protein 2) (F-LAN-1) (F-LANa)	Homo sapiens (Human)	239	DERL2	early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum quality control compartment [GO:0044322]; integral component of endoplasmic reticulum membrane [GO:0030176]; late endosome [GO:0005770]; membrane [GO:0016020]	endoplasmic reticulum mannose trimming [GO:1904380]; endoplasmic reticulum unfolded protein response [GO:0030968]; negative regulation of retrograde protein transport, ER to cytosol [GO:1904153]; positive regulation of cell growth [GO:0030307]; positive regulation of cell population proliferation [GO:0008284]; retrograde protein transport, ER to cytosol [GO:0030970]; suckling behavior [GO:0001967]; ubiquitin-dependent ERAD pathway [GO:0030433]		UPR-RBP
Q96HE7	ERO1A_HUMAN	ERO1-like protein alpha (ERO1-L) (ERO1-L-alpha) (EC 1.8.4.-) (Endoplasmic oxidoreductin-1-like protein) (Endoplasmic reticulum oxidoreductase alpha) (Oxidoreductin-1-L-alpha)	Homo sapiens (Human)	468	ERO1A	dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]	4-hydroxyproline metabolic process [GO:0019471]; animal organ senescence [GO:0010260]; brown fat cell differentiation [GO:0050873]; cell redox homeostasis [GO:0045454]; cellular protein modification process [GO:0006464]; cellular response to hypoxia [GO:0071456]; cellular response to oxidative stress [GO:0034599]; chaperone cofactor-dependent protein refolding [GO:0051085]; endoplasmic reticulum unfolded protein response [GO:0030968]; extracellular matrix organization [GO:0030198]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; protein maturation by protein folding [GO:0022417]; release of sequestered calcium ion into cytosol [GO:0051209]; response to endoplasmic reticulum stress [GO:0034976]; response to temperature stimulus [GO:0009266]	disulfide oxidoreductase activity [GO:0015036]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor [GO:0016671]; protein disulfide isomerase activity [GO:0003756]; protein disulfide oxidoreductase activity [GO:0015035]	UPR-RBP
P31327	CPSM_HUMAN	Carbamoyl-phosphate synthase [ammonia], mitochondrial (EC 6.3.4.16) (Carbamoyl-phosphate synthetase I) (CPSase I)	Homo sapiens (Human)	1500	CPS1	cytoplasm [GO:0005737]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; nucleolus [GO:0005730]; protein-containing complex [GO:0032991]	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; anion homeostasis [GO:0055081]; arginine biosynthetic process [GO:0006526]; carbamoyl phosphate biosynthetic process [GO:0070409]; cellular response to ammonia [GO:1903718]; cellular response to cAMP [GO:0071320]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cellular response to glucagon stimulus [GO:0071377]; cellular response to oleic acid [GO:0071400]; citrulline biosynthetic process [GO:0019240]; glutamine metabolic process [GO:0006541]; hepatocyte differentiation [GO:0070365]; homocysteine metabolic process [GO:0050667]; midgut development [GO:0007494]; nitric oxide metabolic process [GO:0046209]; nitrogen compound metabolic process [GO:0006807]; response to amine [GO:0014075]; response to amino acid [GO:0043200]; response to dexamethasone [GO:0071548]; response to food [GO:0032094]; response to growth hormone [GO:0060416]; response to lipopolysaccharide [GO:0032496]; response to starvation [GO:0042594]; response to zinc ion [GO:0010043]; triglyceride catabolic process [GO:0019433]; urea cycle [GO:0000050]; vasodilation [GO:0042311]	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; endopeptidase activity [GO:0004175]; glutamate binding [GO:0016595]; modified amino acid binding [GO:0072341]; phospholipid binding [GO:0005543]; protein-containing complex binding [GO:0044877]	Starvation-RBP
P27708	PYR1_HUMAN	CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)]	Homo sapiens (Human)	2225	CAD	cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; terminal bouton [GO:0043195]	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; animal organ regeneration [GO:0031100]; cellular response to drug [GO:0035690]; cellular response to epidermal growth factor stimulus [GO:0071364]; citrulline biosynthetic process [GO:0019240]; drug metabolic process [GO:0017144]; female pregnancy [GO:0007565]; glutamine metabolic process [GO:0006541]; heart development [GO:0007507]; lactation [GO:0007595]; liver development [GO:0001889]; nitrogen compound metabolic process [GO:0006807]; peptidyl-threonine phosphorylation [GO:0018107]; protein autophosphorylation [GO:0046777]; pyrimidine nucleoside biosynthetic process [GO:0046134]; response to amine [GO:0014075]; response to caffeine [GO:0031000]; response to cortisol [GO:0051414]; response to insulin [GO:0032868]; response to starvation [GO:0042594]; response to testosterone [GO:0033574]; UTP biosynthetic process [GO:0006228]	aspartate binding [GO:0070335]; aspartate carbamoyltransferase activity [GO:0004070]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; dihydroorotase activity [GO:0004151]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; protein kinase activity [GO:0004672]; zinc ion binding [GO:0008270]	Starvation-RBP
P24752	THIL_HUMAN	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)	Homo sapiens (Human)	427	ACAT1	extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	acetyl-CoA biosynthetic process [GO:0006085]; acetyl-CoA catabolic process [GO:0046356]; adipose tissue development [GO:0060612]; brain development [GO:0007420]; branched-chain amino acid catabolic process [GO:0009083]; coenzyme A biosynthetic process [GO:0015937]; coenzyme A metabolic process [GO:0015936]; fatty acid beta-oxidation [GO:0006635]; isoleucine catabolic process [GO:0006550]; ketone body biosynthetic process [GO:0046951]; ketone body catabolic process [GO:0046952]; ketone body metabolic process [GO:1902224]; liver development [GO:0001889]; metanephric proximal convoluted tubule development [GO:0072229]; propionyl-CoA biosynthetic process [GO:1902860]; protein homooligomerization [GO:0051260]; response to hormone [GO:0009725]; response to organic cyclic compound [GO:0014070]; response to starvation [GO:0042594]	acetyl-CoA C-acetyltransferase activity [GO:0003985]; acetyl-CoA C-acyltransferase activity [GO:0003988]; carbon-carbon lyase activity [GO:0016830]; coenzyme binding [GO:0050662]; enzyme binding [GO:0019899]; ligase activity, forming carbon-carbon bonds [GO:0016885]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]	Starvation-RBP
P30566	PUR8_HUMAN	Adenylosuccinate lyase (ADSL) (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	Homo sapiens (Human)	484	ADSL	cytosol [GO:0005829]	'de novo' AMP biosynthetic process [GO:0044208]; 'de novo' IMP biosynthetic process [GO:0006189]; aerobic respiration [GO:0009060]; AMP biosynthetic process [GO:0006167]; protein tetramerization [GO:0051262]; purine nucleotide biosynthetic process [GO:0006164]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168]; response to hypoxia [GO:0001666]; response to muscle activity [GO:0014850]; response to nutrient [GO:0007584]; response to starvation [GO:0042594]	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity [GO:0070626]; N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity [GO:0004018]	Starvation-RBP
Q12841	FSTL1_HUMAN	Follistatin-related protein 1 (Follistatin-like protein 1)	Homo sapiens (Human)	308	FSTL1	endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	BMP signaling pathway [GO:0030509]; cellular protein metabolic process [GO:0044267]; post-translational protein modification [GO:0043687]; response to starvation [GO:0042594]	calcium ion binding [GO:0005509]; heparin binding [GO:0008201]	Starvation-RBP
